result	domi	recess	omit
0	-2.980604712421849	-3.900596743629801	-2.0910305055030927
1	4.833250844170212	5.94959832417878	4.570788643894438
0	-3.688795300620475	-6.05540305695302	-3.6362854700178584
1	1.544158503669351	2.633633495282351	2.8317410903686686
0	-3.1494075240662696	-3.270224562885857	-1.6228882069768316
1	4.4534559823169175	5.131641986350617	4.1878366985468665
0	-3.9225742669864108	-4.00575772918119	-3.500576379839025
0	-4.41038458058974	-5.75705337022245	-3.285049352218432
0	-3.172594947673542	-2.9574674947713246	-2.672579065082481
1	3.327299969262583	5.29782474397884	4.661353156782194
1	-0.8592735096222575	4.918173256718437	2.3272608312831315
1	1.8765041651603531	2.1270255741737274	3.079781527702408
1	3.992825424361646	0.05720349765589661	1.6298982073052921
0	-3.5730492149791364	-6.520616642127978	-3.555843600144963
0	-1.6982684820507732	-4.834446549743848	-2.039122010254136
0	-3.2905693710204247	-1.8511538492512718	-1.3807850695001191
1	1.369626663199801	-0.13492885827465448	0.6551100405217671
1	3.395773467881331	5.702811039144429	3.469591949773759
0	-1.3864091640092149	-2.6489435727426947	-1.034668406988221
1	4.289794155693053	5.928895826635585	4.557667306934452
1	2.545742028006317	0.8442301578070311	1.6336569794079316
0	-1.1132109327524498	-1.1128421987820516	-0.8418885677291293
1	-2.9347183854225873	-2.9786213772677677	-1.5020582156806246
1	2.0410440576309625	1.924200478489328	0.7764105067767594
1	3.3703125556123212	4.858918312451552	3.9207422564652026
1	-3.1754781354263013	-5.598106968567071	-3.418379129971563
1	0.5397184220619419	5.128197241510291	2.1763856295754254
0	-4.5057417319417326	-5.438303133944009	-3.76260592270792
0	-2.1192682441751383	-2.359191257788784	-1.8792318180138776
0	-2.110421605776805	-2.47956359593344	-2.2497377810262704
0	-0.9036228663979916	-1.0534315957407316	-0.08316992454076416
1	0.5168527783234778	-0.2165979842348832	0.3453158637730066
0	-3.8446697784665025	-3.987170431293458	-2.103250000717227
0	-3.544419693134529	-4.657659223540256	-2.5397764448235276
1	3.3285333853965673	6.260870608568984	3.924992789258328
0	-1.1061073591422217	-3.392354444731966	-1.3587107911528453
0	3.524874004355332	3.7918448648673997	3.2124822175067203
1	3.8519938310524378	1.2596192813996048	4.203501148566249
0	-2.9336804831520107	-4.984342856462141	-2.185623570044978
1	2.7384972939197803	3.7325822903359693	3.432914024702562
0	-1.5282334083166331	-0.2927866721225054	-1.2703976928628595
0	-1.867515942073687	-2.963355428017685	-1.3570467327932092
0	-3.5187160711663212	-4.150140548409014	-2.5675010701385053
0	-2.4082641019742232	-6.555931631606838	-3.376136719258163
1	3.104596131594443	4.674903492925305	3.3620784833306576
0	-4.483114311424616	-5.499344698960144	-3.96930216199177
0	-4.072462315899819	-6.082599053783396	-3.937170778202086
1	3.9301424320582043	5.587159947732838	4.408707038100245
0	-2.7350371048729585	-5.60248138494555	-2.9251414102925093
0	-4.0176895411755815	-5.528559526758561	-3.340619408939105
1	4.457094011750593	6.224538302304269	5.25865142732733
1	4.07147174415319	4.803774362909823	3.640135573056377
1	2.3596416073743764	2.678677916609852	2.334135453051223
0	-0.5275655032334001	-0.7325111053049038	-0.4211886011468423
1	3.273383992171806	4.845712505999671	2.6519639927512633
1	2.3006011988453725	4.379926969479061	3.878651118607501
0	-1.8284290526387499	-4.719084013633537	-3.2378566905075594
0	-1.8716939467855287	-3.8161013163015864	-2.2593982584510406
1	1.8309437756111382	3.67079458891805	2.118685115985574
1	3.8735275819649395	5.8394802429974275	4.690150240856766
1	3.9446673402731776	4.208226026430742	3.228767184894058
0	-1.1111641667934755	-2.714097546987948	-0.47957838186913293
0	-2.19811102631203	-4.702647801818242	-2.7368186337201554
1	2.9705466015352266	3.9380589178977514	2.524688355154753
1	1.6174695516536235	1.762232866936029	1.7561918681169595
1	3.0898299548570805	2.5263433882035518	3.69474848251179
0	-2.8049149753905507	-4.2549489653264265	-2.7285075064891164
0	-1.338254061571275	-0.3464297656482991	-1.1125753519082768
0	-3.25631262054907	-5.738932554094511	-3.535665427002725
0	-1.3655398673971315	-0.676901978338466	-0.20555592779528636
0	-2.0787555529169843	-1.4580276038144815	-1.5507559407840572
1	3.403152461091801	5.753567409681789	4.1257020149892245
0	-4.323437841870313	-5.362855357502134	-3.36077184612639
0	-1.457767894118156	-2.8520871769306275	-1.350461775425068
1	-2.094935390524306	-1.7216770133377535	-0.15437031597284126
0	-3.5761202616997783	-3.889504721315715	-2.9728281728508716
1	-3.408168256109727	-1.9409936050961558	-1.7175829503790705
1	3.5791629864649517	5.571783387098776	3.7965213832933116
1	2.7293410550157136	2.1542393755535083	3.325702992431228
1	2.7993227396455636	0.4160801319500739	1.754182667680795
