result	original	partial
0	-2.0910305055030927	-4.059950916290006
1	4.570788643894438	5.840190399950965
0	-3.6362854700178584	-5.654480018439815
1	2.8317410903686686	4.626869991786595
0	-1.6228882069768316	-3.5226962625223486
1	4.1878366985468665	5.30068806539826
0	-3.500576379839025	-4.52683042163244
0	-3.285049352218432	-5.3852339477524405
0	-2.672579065082481	-3.6931783887645775
1	4.661353156782194	5.787448928206698
1	2.3272608312831315	2.2633309144515734
1	3.079781527702408	4.206877703658697
1	1.6298982073052921	1.2292934766291064
0	-3.555843600144963	-5.664375263103495
0	-2.039122010254136	-3.4739079928282535
0	-1.3807850695001191	-2.5213076883708534
1	0.6551100405217671	-0.943777647984261
1	3.469591949773759	3.787999227272318
0	-1.034668406988221	-3.5983802785223875
1	4.557667306934452	5.679729206729307
1	1.6336569794079316	1.9172204218443776
0	-0.8418885677291293	-2.5167696793880325
1	-1.5020582156806246	-2.820282284126605
1	0.7764105067767594	-0.19966460368506395
1	3.9207422564652026	4.561714637473205
1	-3.418379129971563	-4.894576462199365
1	2.1763856295754254	2.8585760584419364
0	-3.76260592270792	-6.193470690718977
0	-1.8792318180138776	-2.737760324133014
0	-2.2497377810262704	-4.459070939544655
0	-0.08316992454076416	-1.8617169590016107
1	0.3453158637730066	0.3122861202773614
0	-2.103250000717227	-4.1533334841680976
0	-2.5397764448235276	-5.039799246515921
1	3.924992789258328	4.910201279762057
0	-1.3587107911528453	-2.849046174932927
0	3.2124822175067203	4.425591322587906
1	4.203501148566249	5.236023599210257
0	-2.185623570044978	-2.6879463766243434
1	3.432914024702562	3.4747578073095826
0	-1.2703976928628595	-1.069356903038665
0	-1.3570467327932092	-1.7359611885897035
0	-2.5675010701385053	-4.076227239175117
0	-3.376136719258163	-5.509470924855068
1	3.3620784833306576	3.599305443211576
0	-3.96930216199177	-5.447593017948922
0	-3.937170778202086	-5.808907208361119
1	4.408707038100245	5.679598000140721
0	-2.9251414102925093	-5.401300559853731
0	-3.340619408939105	-5.789688347655675
1	5.25865142732733	6.508601641471351
1	3.640135573056377	4.392168392011469
1	2.334135453051223	2.9277768372787003
0	-0.4211886011468423	-0.3252655098804164
1	2.6519639927512633	1.5678024768312935
1	3.878651118607501	4.302698906108336
0	-3.2378566905075594	-5.487872375607823
0	-2.2593982584510406	-3.8129839363420444
1	2.118685115985574	3.1451663426493512
1	4.690150240856766	5.221022798394654
1	3.228767184894058	4.123537844120701
0	-0.47957838186913293	-2.2908894458061053
0	-2.7368186337201554	-5.262398569688118
1	2.524688355154753	2.44549524795458
1	1.7561918681169595	1.7022610220643193
1	3.69474848251179	3.812096862079229
0	-2.7285075064891164	-5.264511150390586
0	-1.1125753519082768	-1.4696681694648805
0	-3.535665427002725	-6.395787456888331
0	-0.20555592779528636	-1.0736998758820733
0	-1.5507559407840572	-2.989866223028665
1	4.1257020149892245	5.371076757879394
0	-3.36077184612639	-5.355581897338716
0	-1.350461775425068	-2.5782053641187446
1	-0.15437031597284126	-0.3277891448490261
0	-2.9728281728508716	-4.642102310302296
1	-1.7175829503790705	-3.699332749156228
1	3.7965213832933116	3.446660664911823
1	3.325702992431228	3.5563666565563268
1	1.754182667680795	2.361605686030544
0	-2.670240428697744	-4.220191654278673
1	2.346370176164572	2.3172212556683873
0	-1.5592645001135086	-2.5784828781561195
0	-1.8720853756522327	-4.700831017782681
1	2.4535161524525995	2.9478206246094487
1	3.5865617546041637	4.543568336560368
0	-2.47646128273965	-3.5215741589465326
0	-3.3727648915581074	-5.374427395426249
0	-3.444517373216381	-5.896858705307402
1	-0.09543149680481774	-1.7697088385975384
0	-4.481595141977925	-6.2524719897751835
1	2.870167553110196	3.9178110370906585
0	-3.38613395472887	-5.325180115182365
1	4.936613687378966	5.931172675580818
0	-2.200566161622791	-3.7275596381050558
1	3.6941083238352186	4.436011248960097
1	4.269393376895103	5.547608713004049
0	-0.013491746265181648	-0.9746983499599812
1	1.738503648891159	2.6354431694609732
0	-2.409170813334485	-3.4462978721144766
0	-3.8352589377205777	-5.970306386743065
0	-3.4612138050442502	-5.405936245485651
1	3.0320837235725127	3.4694842066614657
0	-1.529809336347792	-4.268578532254925
0	-3.3234217220856266	-5.169319472879132
1	3.5049725296358853	4.109981546326541
1	2.177987302626782	2.4168219851051096
0	-1.3571803775426476	-2.391379600095837
1	-0.8117817584083056	-2.3005280824325474
0	-3.151176340382283	-5.351233189227639
1	2.774105343628554	3.425037439966137
1	4.739276324418011	5.958656679687069
1	0.5581975689561715	0.7012093089197459
1	1.406636989417776	2.280999223108532
1	-0.41561751327685403	1.531655223661572
0	-2.826008235730989	-3.9202683268262026
