result	original	remove
0	-3.001564482456018	-3.8789045308575387
1	5.184696055022243	6.006196314901259
0	-3.8386400683255895	-5.732143398568383
0	-1.9693101836039941	-3.6398519354771444
1	4.1004887359370725	5.795313275843172
0	-3.5381399693296647	-4.657228608550714
0	-3.811697551759289	-5.70620878684677
0	-2.624314317925149	-4.23649702837929
1	5.315217692724626	5.3029058313574575
1	2.1765072546200463	2.15889075757919
1	3.479055357233888	3.8692421558210945
0	-3.6722507176451034	-5.793879482315534
0	-1.7720125496849488	-4.245575071451461
0	-1.3110828381128825	-2.328599273220619
1	0.41914319894961455	1.0575636145580984
1	3.523764489955864	3.857205831003464
0	-1.1087126209570513	-3.0589373625285234
1	1.8823354644846355	1.7152647686668219
0	-1.2597631057276633	-2.8826093719838735
1	1.2562841845799972	0.9392138309951645
1	3.980121335526486	4.6439540899647564
1	2.596533875402659	1.7587463084634003
0	-3.7525177479015532	-5.924509312828462
0	-1.7438783236004918	-2.3218015095041107
0	-2.173359740916378	-4.251076090541017
0	0.07523468576892553	-2.2840100974955533
0	-2.4873388257927727	-4.13456096348183
0	-3.3125764226794634	-4.784864113807118
1	4.572834481038062	5.132076156713611
0	-1.4184553512100426	-2.877439358646549
0	3.3013899379345237	4.715287715337246
1	4.542747956604897	4.91745234824675
0	-1.9687615763159427	-2.481345476788305
1	3.5722711306929757	4.401145691138189
0	-0.7977240167119616	-0.3889761255240475
0	-1.4519631718174564	-2.6800160294165307
0	-2.665988634799723	-4.004404489231713
0	-3.381576437187018	-4.966663929370955
1	3.5551253630446915	3.5977569973161114
0	-4.1286699056301	-5.400074474521557
0	-4.18881411161209	-5.846351466058185
1	4.584140691513816	6.022795482648532
0	-3.0040633407469177	-5.002341716008594
0	-3.6289830571167676	-5.650311405272556
1	5.814574505885845	6.267162381494517
1	4.0686464044903925	4.363106289744508
1	2.652540024172656	2.9533763774485857
0	-0.19777294043730018	-0.9688221106684892
1	3.6022708771190968	3.9893761334840474
0	-3.1786628871493336	-5.497568068750192
0	-2.405192123200446	-3.633970741516686
1	5.097477702578105	5.470910177582976
0	-1.080275701585283	-2.5120957090178027
0	-2.8472276660869786	-4.805359462986907
