result	boosting	opposite_model	omit_model
0	-1.1365064731686831	-3.475767028137857	-1.9387868993235475
0	-1.8783634888824536	-4.055537047313059	-3.610920584258281
1	0.6090477204231415	1.0886512946461175	0.6948568436460495
1	-1.6077727587667578	1.23276941984627	-0.48675846636273223
1	-1.8132457913678939	-0.23273164139100047	-1.4453489604542995
1	-1.8513786990568928	-3.0490087755849933	-2.9128074371408865
1	-1.8783634888824536	0.0067564252731694766	-3.1959013680264405
1	1.4072377448804307	2.0037736919019387	2.437256996737009
1	0.2177560075246564	4.428377841987847	3.6029102151890666
1	1.9101876418519852	3.1156430409028357	2.884303135324426
1	-0.8585527973220208	1.0058889650983625	-0.1331784327216032
1	0.8581829656517643	3.526392593527838	2.1480593183980528
1	0.8482749325520661	3.1976696399952167	0.20302615171232227
1	0.4432529301585491	1.9501011650697349	0.885432453526861
1	1.5385915018265481	3.2764653324504223	1.1066303675818918
1	1.774263064776963	3.4890898431427155	2.7818363856365704
1	1.2212553280631817	3.4454022662771058	1.2808127580107738
1	1.6060840670288383	4.203914003034648	3.4073962614050823
1	-0.09444213822395112	-1.627455622955217	-2.251595992698376
1	1.6549322161963422	4.2584965115162206	3.1431961129352164
0	-1.8513786990568928	-4.25984038273039	-3.7805498754104647
0	-1.8783634888824536	-3.9161011945592725	-3.111678789664258
0	-1.8783634888824536	-3.685937733380507	-2.899452375365355
1	1.072307197171679	1.597019799364764	1.1749168923089288
1	0.8760036647768646	-0.73630266642758	1.4710902307643927
1	-1.8783634888824536	-2.6676559170276826	-1.2934432195795036
1	0.3290530600800259	1.7489826444799728	0.6360754478689553
1	-0.8829427057493549	3.0012728271327376	0.044126906499433224
1	1.7741185364260434	3.873172696462246	3.7719369169330843
0	-1.8296931034639954	-3.755004725112881	-2.906090109785276
1	-0.24647409061300463	-3.7396825989839546	-1.0652118453852926
1	1.364807375259634	2.0525655533312124	1.6244845758895463
1	1.034597082440876	3.806652681646801	2.1642498272148107
1	-1.5437181400133742	-1.3872708814931805	-0.6864751183870378
1	-1.5286791147320293	-3.691489261814285	-2.3824922603799967
0	0.7280444012495488	2.726097047667442	-0.7842597769657065
0	-1.8783634888824536	-4.369544469873939	-3.3378992911279615
0	-0.9406718017857076	1.4018395080955872	-0.7135635528652331
0	-1.8783634888824536	-3.7209329498823176	-3.7516168748525005
1	1.594463667083439	4.181154906513626	3.4334359947706505
1	1.7546161616579619	4.428787107896803	3.5148812002619683
1	1.0555052897631316	1.6240793372825602	2.0444995813217592
1	1.5884538102311312	3.2395281901007866	2.4847649644004575
1	1.6287950701784857	4.32581880014672	3.728935192583445
1	1.4421365737285508	2.2441223580762726	2.410677817639141
1	1.620256502790269	4.295188262959731	3.707773846347777
1	1.6418250638487488	4.344377221531902	4.088192825216783
1	1.6758890689917445	4.344377221531902	4.170894615306154
1	1.695601302841355	4.344377221531902	4.340551553180127
1	1.6005442689406584	4.344377221531902	3.5774966638235344
1	1.5823591944135034	3.8882872635887673	4.322988541240215
1	1.5734903306746681	3.3646411021603404	3.116118523063955
1	1.082938019958177	2.439038904759273	1.3734392654710572
1	1.749406321174312	4.344377221531902	4.344575581554609
1	1.7743283955075724	4.344377221531902	4.3807571726937695
1	1.7743283955075724	4.344377221531902	4.3807571726937695
1	1.6338087900916425	4.270745390335996	3.390266556891801
1	0.8746201715727225	4.168068382090476	3.6607263152800056
1	1.479514075654033	2.6794007413467407	2.0060507805521146
1	1.1248809331313174	-0.5124712726668634	1.1828514544237445
