result	boosting	opposite_model	omit_model
0	-2.728000563395692	-2.020208039413037	-1.3737343747990127
0	-3.2337174698455393	-3.4526658615837134	-2.97578257422546
1	2.6911296634095887	2.22700344698126	2.7247473262132336
1	2.80830307280321	2.818779440659289	2.356931749723427
1	2.1442282896754343	2.1928913678313013	1.936272965311576
1	2.3581165623510305	0.7567910441294716	1.5754985667720174
0	-3.002241715941893	-3.329233901779879	-2.6626978100225833
1	1.1803797478549722	1.7754798081181453	1.8714848517829297
1	2.4630429034818007	3.066257526895964	3.2713597349219463
1	-0.30733563943320746	0.333786144683308	0.6425858052955996
1	3.437807069923878	3.0708699055504676	3.0161056679802773
0	-0.1848279588683719	-1.2254694271158213	-2.312363587365349
0	-2.8587347563550174	-3.3816914691210704	-2.60331887743708
0	-3.084735630891948	-3.551417285370121	-3.239639685844296
0	-3.0684049995507565	-2.866253526471577	-2.878056125699537
0	-3.0954626859011167	-2.896553390187683	-2.515414254790187
1	3.701101279974264	3.263953577321837	3.38574593094315
0	-1.939972753516924	-0.3786466397188737	-0.05463794489361529
1	2.9759860396298157	3.1271449692912756	3.0653892180971543
1	1.5772137220958704	2.713465888898684	2.726746710096319
0	-2.0308930050329765	-2.220165052847326	-1.7972299299070256
1	2.8701338575332556	3.2049088090244	2.5353433662691227
0	-2.50734607171598	-0.9471114481936953	-2.3948139539638698
0	-1.6258850963286622	0.017699851841374875	-1.3150822735183052
1	1.0926773608234428	3.460140294475637	2.705659468126592
1	0.6325352682530345	0.261743486744787	0.9456355111185749
1	2.718917278067995	1.3943246032358858	2.297682242316234
1	3.032973359731609	2.5547418649237725	3.3628997709140966
0	-2.7061745828915353	-2.2754594763267444	-2.5705304937168587
1	-0.8741442226127737	-1.3296503989672663	-0.820513212563119
0	-2.059187098039713	-2.216662934322376	-2.243402122639136
0	-2.453129070439514	-2.849488162321053	-2.7501911702960635
0	-2.837096647000685	-2.9818158733717572	-2.607769773475267
0	-2.134147125117751	-1.464261597763232	-2.179837382110791
0	0.31331615163472865	-2.2589787147406963	-0.15877931987532598
0	-1.6674944714491975	-2.0543274588380003	-1.6749887687091154
1	-0.7227738726078506	-1.0881008067034905	-0.44802353716388266
1	-2.8908752129951116	-3.2535950992184963	-2.08953777791358
1	3.4129166777036657	3.0664074955228693	3.4184404909067956
