result	logistic	svm	boosting
0	0.04011577903019765	0.014932363640737882	-1.714888507993528
1	0.9917225558233492	0.6759841458920959	3.4728974407418822
0	0.030961997811869306	-0.22523238686727365	-2.9998512234841574
1	0.808641982434498	0.0749394067893093	2.3254215793856554
0	0.11857115535326847	0.014632767104578812	-1.857818888803161
1	0.9880246828183108	0.03145932833219868	3.197629017416913
0	0.07263956260406887	-0.44925448192562445	-2.790868862885225
0	0.022222186327381318	-0.09295386794492429	-2.9653369466081414
0	0.07007610603009376	-0.07867997160188335	-2.499150907888778
1	0.99369000240603	0.015602087702313468	3.542971028711396
1	0.8118472338342789	0.015931430796638234	2.034530668486758
1	0.9530946410735954	0.16877998737616196	2.6991770149676535
1	0.8385791243818652	0.015274626017154585	1.615069108906258
0	0.03731085500609082	-0.6376539475302734	-2.9857837141928125
0	0.11543855756805986	0.015293607880380594	-1.7703116343106569
0	0.31544767790465367	-0.18806509963553117	-0.9383042948843493
1	0.6955803564366912	0.025931433991277057	0.9389514131815233
1	0.9756286606644655	0.11583107022824166	2.7966622993983337
0	0.3650971345325101	0.015641877649086325	-0.8088546724963984
1	0.9938512720838829	0.01643635655139185	3.5159623292044833
1	0.7998637336434464	0.03557117945812352	1.2147055473942905
0	0.7464586748975106	-0.9499027184621754	-0.4236123506352133
1	0.2565027965074731	0.0021567879981560564	-1.397131894442459
1	0.7825492749467061	0.08203841119749615	1.2891010013575057
1	0.9886676271309375	0.016139157913344842	3.143368126690442
1	0.04520236424220953	-0.027584724009803323	-3.004047903618408
1	0.963220044771941	0.04123856935481754	2.5745855675831573
0	0.02948338372483789	-0.010645959923613614	-3.0288275127617297
0	0.1589430583098117	-0.24626620779143507	-1.8222083799905398
0	0.04705644815447814	-0.042626380451830974	-2.4901385364704067
0	0.3095653799887042	0.01278121295189052	-0.4669948620377491
1	0.41850294833572077	-0.03369136903564641	0.045602258264023435
0	0.0982523475789828	-0.18965688267701913	-2.035601014462803
0	0.07614259040424975	-0.0020583999074499353	-2.4311517131978926
1	0.9808757737616978	0.07340624827994895	3.2197839426495665
0	0.15103802570608124	-0.028684626322686882	-1.1209559255781496
0	0.9692677856535656	0.03968860187509748	2.7728512470321944
1	0.9853445692664224	0.10184776209966383	3.2138803585258007
0	0.088922383892522	0.008442717965735841	-2.0107565799274663
1	0.9366999555553883	0.07304519968736249	3.042993716414657
0	0.17019708521190238	0.015411414390105922	-1.4142431292902842
0	0.3131467575433233	0.045173465326620546	-1.2952029894578798
0	0.15911506967500152	-0.3527718222003919	-2.0984505144646395
0	0.09286096577381293	-0.041118939612163355	-2.288937390975327
1	0.9534940714269857	0.168045919960354	3.058009573953012
0	0.07596158682262165	-1.4407249961357464	-3.0169308551953296
0	0.07691101701533512	-0.015698436529413308	-3.139085305277538
1	0.9771153889443961	0.4607291576370712	3.503540100304286
0	0.0380936811770612	-0.259491060847745	-2.8378541761090976
0	0.033608325111995484	-0.27083596776356733	-3.0161854222304716
1	0.9984671751464808	0.16258063229969877	3.670344675417011
1	0.981531049145861	0.0154130240244563	3.0991625984329434
1	0.9095041700786806	0.021608623678866082	1.853667400012613
0	0.5123482012598476	0.00363584314633251	-0.16075602512665965
1	0.8602590612600438	0.018609486853248335	2.446989698315084
1	0.9625861491686164	0.12390823876866537	2.862290853567939
0	0.020586614354136862	-0.09356609152355552	-2.9587429333385162
0	0.16897703946184128	-0.7015465604708371	-1.4878497327173485
1	0.891008558709942	0.27898633678325674	1.9855912522958896
1	0.991839486776852	0.040382832735411774	3.465728079541122
1	0.9673105717248809	0.4865214409636692	2.9889907042634563
0	0.4269238566166948	0.009808788411352364	-0.4130959109815007
0	0.04997367883469053	-0.014085169840326773	-2.7654116341385007
1	0.9262586121485265	0.03629130657864875	2.107339646266235
1	0.9309637065725448	0.020388352934983704	2.398473906524649
1	0.9500060594818436	0.9997696344869736	2.2013286446810816
0	0.05014288309729266	-0.5840095081827663	-3.0493492090449394
0	0.4253029185837233	-0.07067593992129698	-1.1236051245920051
0	0.03852502232086473	-0.06348939859007324	-2.9837360531234047
0	0.4395251714329751	-0.03713437730272519	-0.16719167521642922
0	0.17940537723677832	-0.005945840347519464	-1.5875870401578216
1	0.9790258948949221	0.016146740033289246	3.25267533043432
0	0.018884640772646517	0.01516428050098239	-2.5405443723902805
